# AU Suburbs Gazetteer (v0.4.1)
# Source: matthewproctor/australianpostcodes (CC0)
# Generated: 16165 unique suburb names
# Format: suburb_name|state1,state2,...
Bellview|VIC
Belmont|NSW,QLD,VIC,WA
Belmont Heights|QLD
Belmont North|NSW
Belmont South|NSW
Belmore|NSW
Belmore River|NSW
Belmunda|QLD
Beloka|NSW
Beloon|NSW
Belowra|NSW
Belrose|NSW
Belrose West|NSW
Beltana|SA
Beltana Station|SA
Belton|SA
Belvedere|QLD
Belvedere Park|VIC
Belvidere|SA
Belyando|QLD
Belyuen|NT
Bemboka|NSW
Bemerside|QLD
Bemm River|VIC
Ben Buckler|NSW
Ben Buckley|NSW
Ben Bullen|NSW
Ben Lomond|NSW,TAS
Ben Nevis|VIC
Ben Venue|NSW
Bena|VIC
Benair|QLD
Benalla|VIC
Benalla West|VIC
Benambra|VIC
Benandarah|NSW
Benanee|NSW
Benaraby|QLD
Benarca|NSW
Benarch|VIC
Benarkin|QLD
Benarkin North|QLD
Benayeo|VIC
Benbournie|SA
Bencubbin|WA
Bend Of Islands|VIC
Benda|SA
Bendalong|NSW
Bendeela|NSW
Bendemeer|NSW
Bendering|WA
Bendick Murrell|NSW
Bendigo|VIC
Bendigo Dc|VIC
Bendigo Forward|VIC
Bendigo South|VIC
Bendoc|VIC
Bendolba|NSW
Bendoura|NSW
Beneree|NSW
Benerembah|NSW
Bengalla|NSW
Benger|WA
Bengworden|VIC
Benholme|QLD
Beni|NSW
Benjaberring|WA
Benjeroop|VIC
Benjinup|WA
Benloch|VIC
Bennett Springs|WA
Bennetts Green|NSW
Bennettswood|VIC
Bennison|VIC
Benobble|QLD
Benolong|NSW
Benowa|QLD
Bensville|NSW
Bentleigh|VIC
Bentleigh East|VIC
Bentley|NSW,WA
Bentley Dc|WA
Bentley Park|QLD
Bentley South|WA
Benwerrin|VIC
Berajondo|QLD
Berala|NSW
Berambing|NSW
Berat|QLD
Beremboke|VIC
Beresfield|NSW
Beresford|WA
Bergalia|NSW
Bergen|QLD
Berkeley|NSW
Berkeley Vale|NSW
Berkshire Park|NSW
Berkshire Valley|WA
Berlang|NSW
Bermagui|NSW
Bermagui South|NSW
Bernier Island|WA
Berowra|NSW
Berowra Creek|NSW
Berowra Heights|NSW
Berowra Waters|NSW
Berrambool|NSW,VIC
Berrara|NSW
Berremangra|NSW
Berri|SA
Berrico|NSW
Berridale|NSW
Berriedale|TAS
Berrigal|NSW
Berrigan|NSW
Berrilee|NSW
Berrima|NSW
Berrimah|NT
Berrimal|VIC
Berrimal West|VIC
Berrinba|QLD
Berringa|VIC
Berringama|VIC
Berringer Lake|NSW
Berriwillock|VIC
Berry|NSW
Berry Jerry|NSW
Berry Mountain|NSW
Berry Park|NSW
Berry Springs|NT
Berrybank|VIC
Berrys Creek|VIC
Berserker|QLD
Berthong|NSW
Bertram|WA
Berwick|VIC
Beryl|NSW
Bessiebelle|VIC
Beswick|NT
Beswick Creek|NT
Bet Bet|VIC
Bete Bolong|VIC
Bete Bolong North|VIC
Bethanga|VIC
Bethania|QLD
Bethany|SA
Bethel|SA
Bethungra|NSW
Betley|VIC
Beulah|TAS,VIC
Beulah Park|SA
Bevendale|NSW
Beverford|VIC
Beveridge|VIC
Beverley|SA,WA
Beverley Park|NSW
Beverly Hills|NSW
Bewong|NSW
Bexhill|NSW
Bexley|NSW
Bexley North|NSW
Bexley South|NSW
Biala|NSW
Biarra|QLD
Bibaringa|SA
Bibbenluke|NSW
Bibliando|SA
Biboohra|QLD
Bibra Lake|WA
Bibra Lake Dc|WA
Bicheno|TAS
Bickley|WA
Bickley Vale|NSW
Bicton|WA
Biddaddaba|QLD
Biddelia|WA
Biddeston|QLD
Biddon|NSW
Bidgeemia|NSW
Bidwill|NSW,QLD
Bielsdown Hills|NSW
Big Bend|SA
Big Desert|VIC
Big Grove|WA
Big Hill|NSW,VIC
Big Jacks Creek|NSW
Big Pats Creek|VIC
Big Ridge|NSW
Big Springs|NSW
Big Tuan|QLD
Big Yengo|NSW
Bigga|NSW
Biggara|VIC
Biggenden|QLD
Biggera Waters|QLD
Biggs Flat|SA
Bilambil|NSW
Bilambil Heights|NSW
Bilbarin|WA
Bilbul|NSW
Bilgola|NSW
Bilgola Beach|NSW
Bilgola Plateau|NSW
Bilinga|QLD
Bilingurr|WA
Billa Billa|QLD
Billa Kalina|SA
Billabong|VIC
Billeroo West|SA
Billeroy|NSW
Billiatt|SA
Billilingra|NSW
Billimari|NSW
Billinudgel|NSW
Billyrimba|NSW
Billys Creek|NSW
Billywillinga|NSW
Biloela|QLD
Bilpin|NSW
Bilwon|QLD
Bilyana|QLD
Bimberi|NSW
Bimbi|NSW
Bimbijy|WA
Bimbimbie|NSW
Bimbourie|VIC
Bimbowrie|SA
Bimlow|NSW
Binalong|NSW
Binalong Bay|TAS
Binbee|QLD
Binda|NSW
Bindarrah|SA
Bindebango|QLD
Bindera|NSW
Bindi|VIC
Bindi Bindi|WA
Bindogundra|NSW
Bindook|NSW
Bindoon|WA
Bindoon Training Area|WA
Binduli|WA
Bingara|NSW
Bingeebeebra|NSW
Bingeebeebra Creek|NSW
Bingegang|QLD
Bingie|NSW
Bingil Bay|QLD
Binginwarri|VIC
Bingleburra|NSW
Bingo|VIC
Bingo Munjie|VIC
Biniguy|NSW
Binjari|NT
Binjour|QLD
Binjura|NSW
Binna Burra|NSW,QLD
Binnaway|NSW
Binningup|WA
Binnu|WA
Binnum|SA
Binya|NSW
Biraganbil|NSW
Birchgrove|NSW
Birchip|VIC
Birchip West|VIC
Birchmont|WA
Birchmore|SA
Birchs Bay|TAS
Birdlip|NSW
Birdsville|QLD
Birdum|NT
Birdwood|NSW,SA
Birdwoodton|VIC
Birganbigil|NSW
Birkalla|QLD
Birkdale|QLD
Birkenhead|SA
Birmingham Gardens|NSW
Birnam|QLD
Birralee|TAS
Birrego|NSW
Birregurra|VIC
Birriwa|NSW
Birrong|NSW
Birtinya|QLD
Bishops Bridge|NSW
Bishopsbourne|TAS
Bithramere|NSW
Bittern|VIC
Black Creek|NSW
Black Duck Creek|QLD
Black Forest|SA
Black Head|NSW
Black Hill|NSW,SA,VIC
Black Hill Station|SA
Black Hills|TAS
Black Hollow|NSW
Black Jack|QLD
Black Jungle|NT
Black Mountain|ACT,NSW,QLD
Black Point|SA
Black Range|NSW,VIC
Black River|QLD,TAS
Black Rock|SA,VIC
Black Rock North|VIC
Black Snake|QLD
Black Springs|NSW,SA
Black Swamp|NSW
Blackall|QLD
Blackalls Park|NSW
